 Year,Month,Rainfall,Temperature
1916,11,142.638,10.988
1916,12,207.951,9.13942
1917,1,122.098,6.89274
1917,2,154.492,7.7888
1917,3,107.075,8.92213
1917,4,55.8812,11.5186
1917,5,64.4613,15.4898
1917,6,28.793,18.6914
1917,7,1.07933,21.8921
1917,8,9.80527,20.2176
1917,9,12.1922,20.1095
1917,10,35.7748,14.0127
1917,11,4.96841,10.9456
1917,12,48.3956,6.4274
1918,1,180.561,8.87426
1918,2,28.1055,9.14191
1918,3,85.4963,9.74
1918,4,90.797,11.0796
1918,5,42.1034,15.7485
1918,6,14.1234,19.7138
1918,7,7.29646,21.4853
1918,8,11.6494,22.4394
1918,9,69.6222,18.3666
1918,10,34.0089,13.0028
1918,11,101.62,10.8651
1918,12,54.5496,9.33918
1919,1,120.951,7.3497
1919,2,202.201,10.1774
1919,3,96.3496,10.0525
1919,4,68.1689,11.8548
1919,5,32.3032,15.6113
1919,6,25.5411,20.4579
1919,7,14.3685,20.5014
1919,8,3.70045,22.9604
1919,9,39.6699,19.6981
1919,10,58.0085,14.0392
1919,11,154.295,9.56469
1919,12,60.3545,7.67119
1920,1,54.5595,8.19818
1920,2,79.8296,9.71082
1920,3,77.8004,10.7
1920,4,65.1564,13.3599
1920,5,83.8159,16.5845
1920,6,20.5809,18.9597
1920,7,1.3314,20.2591
1920,8,2.55652,20.9701
1920,9,27.7378,19.6967
1920,10,136.318,14.3335
1920,11,79.5398,11.0372
1920,12,80.0965,8.37703
1921,1,40.2649,8.24144
1921,2,62.6851,8.65983
1921,3,40.8486,10.5219
1921,4,24.525,12.5125
1921,5,66.9021,15.055
1921,6,19.6439,19.1515
1921,7,8.91944,22.5672
1921,8,5.82234,21.4804
1921,9,58.6862,19.5794
1921,10,87.5002,17.4712
1921,11,99.8011,11.1566
1921,12,45.8015,7.78527
1922,1,123.915,7.95853
1922,2,33.8444,9.19434
1922,3,106.264,9.30656
1922,4,45.0011,11.8201
1922,5,30.3377,18.0032
1922,6,47.2546,18.5664
1922,7,6.97126,20.5765
1922,8,20.1416,21.6223
1922,9,34.6275,18.1048
1922,10,132.842,15.5128
1922,11,40.8261,11.3091
1922,12,104.098,7.69213
1923,1,17.4784,6.67902
1923,2,127.702,9.27988
1923,3,43.042,11.474
1923,4,113.974,10.8487
1923,5,25.1802,15.0783
1923,6,27.3764,19.0678
1923,7,5.58838,21.8133
1923,8,3.76785,22.8108
1923,9,27.8018,19.0139
1923,10,96.6112,17.0105
1923,11,158.197,10.1819
1923,12,37.935,6.96411
1924,1,96.4893,8.35143
1924,2,105.172,6.65977
1924,3,181.169,11.1398
1924,4,69.4917,13.1325
1924,5,39.3388,16.6596
1924,6,7.99177,19.7262
1924,7,6.77192,21.5036
1924,8,8.18423,21.033
1924,9,52.2,18.4796
1924,10,55.6102,15.6503
1924,11,114.808,10.8898
1924,12,98.4256,8.90035
1925,1,37.1744,8.11933
1925,2,121.434,7.93291
1925,3,22.82,8.61529
1925,4,58.2703,11.6875
1925,5,58.9889,14.136
1925,6,62.0236,18.5853
1925,7,19.9966,19.898
1925,8,11.2698,21.7018
1925,9,14.989,19.043
1925,10,76.4278,16.0696
1925,11,131.021,9.88259
1925,12,175.247,10.0929
1926,1,58.6908,9.02584
1926,2,143.89,11.522
1926,3,100.821,11.89
1926,4,67.5195,12.7799
1926,5,46.7856,14.3104
1926,6,15.5137,18.4445
1926,7,1.65002,22.0586
1926,8,3.59331,23.4016
1926,9,3.25234,22.7125
1926,10,140.67,17.2594
1926,11,176.485,10.8394
1926,12,33.7591,7.5406
1927,1,85.0665,8.13341
1927,2,83.4179,8.38664
1927,3,106.419,11.5614
1927,4,18.686,13.6941
1927,5,64.1202,16.5833
1927,6,22.0762,19.5451
1927,7,20.0443,19.9342
1927,8,19.5091,21.1041
1927,9,27.0414,18.3192
1927,10,71.9404,16.5544
1927,11,106.607,10.4413
1927,12,200.286,9.04208
1928,1,43.3674,7.47623
1928,2,84.0703,9.90139
1928,3,132.027,10.7547
1928,4,130.924,11.806
1928,5,72.1381,13.8943
